Label,Art Num,TTR Ratio,Avg Stop Words,Avg Sent Len,Rare,Gram,verb,noun,rare_new,stoptocont
1,1,1,0.545454545,17,0.126110124,2.453321364,0.053679654,4,0,1
1,2,0.863636364,0.818181818,40,0.103529412,1.961000736,0.067232838,1.923076923,0.058649982,1.431127013
1,3,0.947368421,1.052631579,19.5,0.124113475,2.165966387,0.052525253,1.769230769,0,1.125
0,4,0.981481481,0.796296296,32.33333333,0.11827957,2.220248668,0.017301038,2.013553114,0.056109553,0.776025237
1,5,0.836065574,0.639344262,25,0.136752137,3.157303371,0.029891304,2.161716172,0,0.966850829
1,6,0.8,0.690909091,18.6,0.112359551,3.29280397,0.0625,4.271637427,0,1.025125628
1,7,0.913043478,0.652173913,16.28571429,0.203703704,2.068825911,0.044609665,13.32485876,0.002886003,0.73943662
0,8,0.955223881,1.28358209,15.3,0.128472222,1.652173913,0.055956679,1.779103423,0.061551483,0.875886525
1,9,0.77852349,0.838926174,18.26666667,0.10041841,1.736051502,0.018480493,2.223580793,0.079610547,0.64664311
1,10,0.809859155,0.73943662,12.35,0.140625,2.357664234,0.084210526,9.915389527,0,1
1,11,1,0.933333333,29,0.109375,2.363970588,0.064516129,1.416666667,0,0.942857143
1,12,0.928571429,0.428571429,20,0.111764706,1.635036496,0.052816901,1.5,0.036420687,0.838926174
1,13,1,1.153846154,14,0.08045977,2.114503817,0.059479554,1.95,0,1
1,14,1,1.333333333,11.66666667,0.125,3.200934579,0.013157895,1.937728938,0.144436673,0.829059829
0,15,0.961538462,1.346153846,15.25,0.087866109,1.97799511,0.043378995,4.226785714,0.017786542,0.859090909
1,16,0.875,0.597222222,23,0.092592593,2.806526807,0.055679287,2.459456857,0,1.014084507
0,17,0.985294118,0.691176471,16.42857143,0.144144144,3.24137931,0.060240964,3.923130967,0,0.98136646
1,18,0.787401575,0.881889764,23.9,0.162983425,2.91276252,0.065522621,5.625836782,0.013605442,0.996774194
0,19,0.954887218,1.067669173,18.33333333,0.086206897,4.412234043,0.0475,2.67369143,0,1.032432432
0,20,0.96350365,1,13.7,0.078431373,3.278586279,0.038383838,4.847110763,0.009661869,0.768382353
1,21,0.941176471,0.411764706,24,0.119617225,2.905063291,0.067647059,2.833333333,0,0.975
1,22,1,1.666666667,8,0.146919431,2.85472155,0.025581395,1,0.052128179,0.80349345
0,23,0.947368421,0.894736842,18,0.084158416,1.691131498,0.03880597,1.410087719,0.006780916,0.767567568
0,24,1,0.764705882,10,0.137362637,2.786377709,0.025641026,16.32258065,0.011879897,0.824858757
1,25,1,0.783783784,16.5,0.100628931,3.990384615,0.040740741,1.765909091,0,0.933085502
0,26,0.980769231,0.884615385,19.6,0.09,2.50297619,0.055401662,3.164380952,0.206253802,0.836065574
1,27,0.9,0.714285714,17.14285714,0.104240283,1.679355783,0.046250876,3.701945595,0.035190991,0.954220315
1,28,0.805084746,0.652542373,19.5,0.12,3.169014085,0.037333333,2.089523255,0.042690612,0.775
1,29,0.74375,0.9,20.26666667,0.162337662,3.317627945,0.044496487,6.441798942,0,0.935534591
0,30,0.937062937,0.951048951,13.95,0.11827957,2.720430108,0.048275862,6.932265578,0,0.951048951
1,31,1,0.833333333,11,0.111111111,2.306220096,0.061503417,1.2,0,0.99047619
